"Tweets","Sentimen"
"tekstur coba kandungan coba efektivitas coba produk kirim botolnya tutupnya pecah dalamnya ttup kertasnya kebuka alhasil kandungan airnya tumpah kalo salah kurir dalemnya tutup kertas tempelnya kebuka padhal make bubble wrap retak","Negatif"
"tekstur cair wangi ngga efektivitas isinya gambar","Negatif"
"maskara kering isinya","Negatif"
"extra gift kayak gambar","Positif"
"cocok kulit kering","Tral"
"cocok kulit","Tral"
"beliin mamihh semoga cocok","Tral"
"tips pengguna pakingnya rapih tumpah","Negatif"
"pecah lebur bedaknya ngga tertolong packing jelek kayak angga niat jujur ajah bagus bagus jelek jelek","Negatif"
"produknya diterima lalai divideo unbox paket kualitas pensil bagus","Positif"
"tumben banget kali bagus packing plus coklat lumer bentuk beraturan bbrp kali beli kali kecewa semoga next","Negatif"
"pengiriman batalkan","Tral"
"pensil alisnya diputer masukin dorong","Tral"
"amor berubah warna bbrp oles warna sesuai botol warna peach gitu bagus bibir menitan warna berubah pink pink banget warna pink jelek beda ekspektasi beda warna beli amor ngarep gloss warna peach kecewa pink","Negatif"
"barang sesuai denga pesanan","Positif"
"thank much powder foundationnya aman sesuai pesanan","Negatif"
"bagus modelnya kawatnya kuat","Tral"
"scan minyak telon ukuran","Positif"
"epire pantesan enak","Negatif"
"ordernya translucent natural cuman baca penilaian customer salah dikirim shadenya diajukan pengembalian ribet butuh prosesnya dicek dikirim customernya","Positif"
"produk packagenya bagus bikin bibir kering","Positif"
"aroma liptint unik longlasting paket dikemas menarik sayang biyas powdernya ngga disertai puff","Positif"
"pecah kabeh","Positif"
"tekstur bagus meresap performa nyoba semoga cocok","Positif"
"bener kecewa maybelline official pdhl nanya makesure smudge proof hasil smudge parah mata item bikin malu jalan temen","Negatif"
"ukurannya remaja kayanya","Negatif"
"liat flash sale harga udah baca deskripsinya kirain gede taunya","Negatif"
"sedahsyat efeknya cepet mateng jerawatnya jerawatnya kempesnya barengan skincare bingu","Negatif"
"baguss respon pengiriman cepat packaging aman","Positif"
"bonus hijab","Positif"
"barang dipesan beres penjual","Positif"
"samponya bocor kembalikan","Negatif"
"nyoba semoga cocok","Tral"
"kecewa barang sampe patah gimana pake coba","Negatif"
"wangi enak wanginy unisex packaging doff sistem bukanya puter tutupnya ribet secure semoga cocok semoga kualitas produk","Negatif"
"sorry kasie bintang pengalaman bagus kemasan formula hasil muka lgsg bright bersih kalo kemasan","Negatif"
"kali pesen coklat nyampenya lumer nyampai cairan","Negatif"
"baguss suka lipstiknya","Positif"
"tipis potongan rapi kasar dibandingkan pengiriman cepat","Positif"
"nggak kepala botolnya rusak packingnya isinya tumpah meluber unboxing","Negatif"
"nyoba semoga cocok","Negatif"
"teksturnya encer beli bocor tinggal tutupnya rapat","Negatif"
"suka clay bener bener cocok rambut tebal jatuh rambut rambut berat clump together susa","Negatif"
"alhamdulillah paket maaf telat kasih ulasannya produk original official langsung packing bagus dibawa","Positif"
"pengirimannya sampe minggu","Negatif"
"best brand love","Negatif"
"puas","Positif"
"keceparan pengiriman expired dates","Negatif"
"tekstur seger wanginya enak performa minggu cocok kulit kombinasi aman kali kasih bintang gift sesuai deskripsi checkout pilihan sesuai deskripsi gambar","Negatif"
"cocok eyeshadow performa dontknow tekstur gatau","Positif"
"alamat ditulis sesuai diisi apps kasian kurirnya ngomel konsumen hehe","Negatif"
"beli mending unboxing video pump susah seret pencet cuman cipratan minyak mending langsung twitternya biar respon giliran udah dikirim dear dipake service kali rugi rugi uang rugi produk dipencet dikeluarin timnya","Positif"
"bahannya tipis","Positif"
"barang deskripsi pengiriman cepat respon cepat","Positif"
"tekstur performa cocok udah beli kalinya","Positif"
"produk original makaci","Positif"
"sesuai harga smpai stglg order bayar","Negatif"
"kemasan rapi wangi produk bagus emang bagus produk garnier pengiriman pick lamaa","Negatif"
"pengirimannya cepet aplikasi sebelah","Negatif"
"infonya expiry produk produk dikirim expiry","Positif"
"kacamata keren berasa kegedean sisi kanan kiri","Negatif"
"frame bagus ukuran bedar longgar bukaan kiri kanan simetris","Negatif"
"wangi berbau efektivitas perubahan tekstur cream scrab murah toko sebelah","Negatif"
"aplikator bagus clump produk bagus tahan warnanya cantik","Positif"
"langsung garansi","Negatif"
"baguss banget","Positif"
"odol kemasan kemasan sobekâ","Positif"
"deskripsi tagnya running jacket pantesan tipis lapis doang kecewa jaket kaya gini doang kemahalan ribuan suka kualita","Negatif"
"udah expired","Negatif"
"packaging aman pengiriman pulau jawa produk bedaknya pecah honest review peace","Positif"
"sampe cepet","Positif"
"seller proses barang produk bagus","Positif"
"cocok kulit cerah gampang dipakai mudah kehapus","Positif"
"pengalaman penggunaan lumayan maksimal tips pengguna dikocok dituangkan kapas kemasan bagus hapus makeup bedak lipstick shadow liner menghapus maskara maksimal cuci muka facial foam timbul sisa sisa maskara mata area mata hitam ukuran penutup tutupnya airnya takut tumpah","Negatif"
"dicoba bbrp kali hasilnya nampak","Positif"
"ampuh dicoba pengiriman cepat","Negatif"
"rapi","Positif"
"diperhatikan pengiriman barang pesan senin september dikirim sabtu september","Negatif"
"barang harga pengiriman lambat","Positif"
"kaya foto warnanya kaya makan gorengan","Positif"
"anget panas muter video adem ayem alhamdulillah dapet beli","Negatif"
"kali coba merk make over mudah cocok bedaknya tahan cuaca panas terik indonesia","Negatif"
"produk sesuai deskripsi produk respon penjual standar pengiriman standar","Positif"
"sesuai klaim produknya tahan cepat luntur","Negatif"
"dikirim barang berfungsi penggantian barang sulit diganti pengembalian uang langsung diterima proses","Negatif"
"belanja diatas gifh nggak skli pdhl belanja","Positif"
"nyoba pake semogaa cocok","Positif"
"cocok jenis kulit tekstur kental performa pake soluble collagen nggaena licin banget banget bangett mandi kaya gabisa bersih kulitnya sabunin pake sowerpuff digosok ilang residu lotionnya dhimethicone kayanya","Positif"
"ancur pdahal bagus resiko beli online gini","Negatif"
"warnanya cantik intens dibanding formula transferproof matte bikin bibir kering dicoba blush freebie","Positif"
"efektivitas semoga berhasil tekstur coba daya serap coba coba semoga berhasil berhasil bintang","Negatif"
"normal bagus semoga awet","Positif"
"performa menimbulkan jerawat tekstur kental cocok cocok dikulit kali mencoba pemakaian minggu menimbulkan jerawat diwajah","Positif"
"kecewa pelayanan berkali kali terkait ukuran sepatu beli ukuran tabel","Negatif"
"lengkap","Positif"
"udah pembelian kalinya kali kecewa kualitas produknya beli ksih gift kali deskr","Positif"
"awet seharian","Positif"
"bahannya bagus","Positif"
"review product sound quality standard harga shape sopan flat cuman","Positif"
"fragrance","Tral"
"terimakasih seller memuaskan pelayanan pengiriman mantap banget next order","Negatif"
"barang sampe selamat pake emina cocok","Positif"
"green layer take after","Negatif"
"pigmented tahan","Positif"
"topp","Tral"
"barang cepat packingan aman","Positif"
"barang unboxing dicoba ngebor batrei penuh diadaptor nyala hijau retak dikit kopernya awet fungsi normal","Negatif"
"barang dateng langsung cobain sebelah kanan mati percaya nama lenovo","Negatif"
"kemasan wangi enak profil kecantikan cowo produk original","Positif"
"warnanya tipis warnanya buildable teksturnya powdery shimmer bonus cologne","Positif"
"bahannya enak","Positif"
"barang aman kardus terbuka sampe rumah tertahan kurir terlambat estimasi","Positif"
"packingnya bublewarp tebal barangnya burikk kotorr barang gimana","Positif"
"bagus banget dibersihkan susah","Positif"
"ngaruh udah semprot","Positif"
"warnanya super nude kemasan mewah brand lokal international","Negatif"
"barang kirim","Positif"
"displayport tercantum judul produk mohon edit judul produk menimbulkan kebingungan calon pembeli overall barangnya bagus","Negatif"
"rontok parah","Negatif"
"aplikator mudah dipakai gampang dibawa bawa coverage high awet seharian cocok bibir gelap","Positif"
"udah bermingguâ pake efektif jerawat","Positif"
"lumayan tqpi kinclong debu nempel","Positif"
"barang bagus pelayanan pesen pagi paket same dikirim besok same aktifin mending","Positif"
"mohon kasih bintang kwalitas barang respon penjual bagus sayang kurir mengantar barangnya lambat order","Positif"
"nyoba semoga cocok","Tral"
"pake alhamdulillah enak ringan dimuka sukaa semoga cocok hilang permasalahan jerawatkuu","Positif"
"susah lentik","Positif"
"barang layak kirim kirim barang bekas pakai mengecewakan","Negatif"
"material ketat susah pasangnya","Positif"
"kecewa banget brand sekelas purbasari","Negatif"
"packing bener niat wraping pake plastik","Negatif"
"pengiriman lamaa banget beli ditempat pengiriman kacau","Negatif"
"pake berkali gigi karatan warnanya berubah sesuai iklannya","Positif"
"kalo kasih bintang kalinya beli toko official store kecewa tertarik beli bundle karna free quickmelt","Negatif"
"coverage merata hasilnya matte desainnya mewah desainnya lucu","Positif"
"hahahaha promo diskon dibatalkan bikin emosii","Positif"
"aroma suka nyengat","Positif"
"baguss semoga cocok bibir thankyou masker","Positif"
"dicoba bnyk konsumen suka cocok cocok maklum usia kepala smkn intens perawatan kulit wajah smkn cepat","Negatif"
"beneran","Positif"
"performa hadeh cocok gatau pelayanan shopee slow respon ghosting","Negatif"
"dicoba warna suka sayang matte","Negatif"
"suka banget kalinya beli celana","Positif"
"barang original pengiriman","Positif"
"alhamdulillah pakat mendarat selamat kerusakan paket mantap desainya keren sesuai selera","Positif"
"bintang nyesel beli liat review netflix disney plus langganan kalo pakai","Negatif"
"bagus cocok bikin perih mata","Positif"
"apes pembelian kali kali beli udah ngeri tutup botolnya dilakban pengemasannya parah kali kebagian apesnya tumpah kacau hati kalo beli orang males mikir dilakban botolnya botolnya sealnya minimal tutup botol dilakbanin berharap botolnya dibungkus bubble wrap males kecewa pdhl toko penjual trusted","Negatif"
"tekstur padat performa cocok bibir","Negatif"
"pengiriman cepat barang kirim pesan","Positif"
"pengemasan","Positif"
"full mantap","Positif"
"kemudahan penggunaan dipegang hangat daya listrik rendah fitur doang isinya udahh batasi penipu","Positif"
"hair color tempel rusak penutup lakbanya pengiriman super lamban kecewa banget","Negatif"
"tekstur cramy cocok base performa bagus suka cocok omre campur warna merah","Positif"
"mimin paham produk pengiriman kisaran seminggu dikirim penjual dichat responsif terkesan","Negatif"
"barang abis kebuka gatau pakingannya aman","Negatif"
"kemasan bagus semoga cocok","Positif"
"gabisa dipake paket hancur gini","Negatif"
"sekelas shopeemall packing asalan cairan tumpah kemana kali packing rapi","Negatif"
"segel pantesan diskonnya gede","Negatif"
"pesanan sesuai permintaan dikirim terima kasih bonus cesar tender lamb","Positif"
"catridge detect diprinter ntah barang asli palsu tinggal buang","Negatif"
"wajah tersenyum hati","Positif"
"pengiriman lamaa bangeet sampe lupa kalo beli barang ekpyd deket banget beli harga diskon","Negatif"
"salah eyeshadow paletnya pecah diajukan komplain solusinya pengiriman barang diganti ditanggung biaya pengirimannya","Positif"
"profil kecantikan sesuai ketentuan manfaat mencerahkan wajah tips pengguna sesuai ketentuan bagus","Positif"
"hancurr produknya bedaknya keliatan kaya rusak dlaemnya ancur banget","Negatif"
"kemasan bagus tebel efek dicoba muka bagus banget ditangan","Positif"
"pilih coralcoral warnanya dipake tebel merah suka wanginya enak kaya permen manisnya abis apply","Negatif"
"tekstur creami performa bagus cocok coba gold mngkin beli dstu ketranganny kadaluarsany simpan slma biasany beli safii kedepan kedepan kecewa","Negatif"
"makenya susah wkwk lumayan bersihin gigi sikat nyelip","Positif"
"ngerti ditipu iklan kmrn beli sunscreen free gift doang free gift mending beli official store nipu iklan doang","Negatif"
"terima pesanan coba pakai hasilnya tombol numpad berfungsi chat toped alhasil claim grns rugi ongkir","Negatif"
"kulitku cocok sebulan pake bikin timbul jerawat","Negatif"
"aplikator mudah dipakai coverage high gampang dibawa bawa awet seharian proses pesanan cepat packaging aman packaging rapi respon penjualnya","Positif"
"warnanya cakepp banget","Positif"
"beli lovely panda year lovely panda year","Tral"
"saran kali packaging aman tumpah rumah udah full beli micellar water diselotip tutupnya pengiriman","Positif"
"produk aman packingnya safety kualitasnya belom karna coba pake bikin kesel beli official store packingnya luamaa sampe tertawa terbahak bahak kalo gitu mending beli toko yakan cepet","Negatif"
"really prettyy well gloss gives heavy sticky feeling eventhough that also tried wearing mask while wearing","Tral"
"tekstur cair performa cocok membersihkan make kualitas produk pengiriman cepat","Positif"
"packingan mantull pesan biji maksihh","Tral"
"nyoba semoga cocok","Tral"
"suka sekalii","Positif"
"kecewa berharap dikirim kemasan sesuai foto kemasan habis ditulis note tersedia kemasan fotonya ganti","Negatif"
"barang diterima bagus packingnya thanks","Positif"
"bulu halusnya rontok","Negatif"
"kualitas produk sayang kirim ketinggalan barang nunggu minggu","Negatif"
"baunya wangi gampang meresap pemakaian keliatan kulit cerah kalo pake minggu full rutin perbedaan","Positif"
"dibuka kardusnya bedak tumpah terbuka","Positif"
"masker udah kendala jasa kirim anter payah banget estimasi samperin ekspedisi","Negatif"
"expired date tinggal","Negatif"
"minyak bocor niat dijual bgini refund jwban drpda nngu rela rela pakai","Negatif"
"nempel banget warnanya sampe hilang hahaha stamp sampe sampe disangka sariawan bibir berdarah gara tint","Negatif"
"alhamdulillah bagus semoga awet","Positif"
"beli paketan mascara lash paradise kirain murah dikasih mascara expired sebulan kemasan rambut dikasih","Positif"
"suka banget banget banget travel friendly tinggal selipin pouch ukurannya coba coba sblm beli full size","Negatif"
"waterproof diiklankan gara keringetan beleber sampe mata kayak mata panda ampun beli","Positif"
"sampe sabunnya tutup beleber tutup pecah trnyt pinggirannya isinya pdhl pake bubble ckck utgnya isiny","Negatif"
"kualitas packaging penampilannya bagus bangat warna soft bagus dicoba","Positif"
"barang gimana biar netflix hotstar bantu","Positif"
"warna bagus kenyamanan aplikator bagus ketahanan bagus bagus sayang diskon beli february september","Negatif"
"aman melimpah terbukti ampuh packaging rapi bahan organik","Negatif"
"kering jelek banget","Negatif"
"cocok kulit oily kering sampe kelupas efek ketariknya dipake wangi enak","Positif"
"lembab ringan warna tahan","Positif"
"kandungan madunya dikit mending beli madu beneran","Positif"
"belanja kotak asli nggak kasih masker dikirim berantakan kotak nggak kasih kotak","Negatif"
"cocok free kardus dteng bedak doank free brush plsu bnget","Positif"
"wangi khas viva","Positif"
"semoga cocok asiku berlimpah memenuhi kebutuhan anakku aamiin","Positif"
"mantep semoga awet","Positif"
"rugii ongkir pengiriman sameday order jumat selasa order proses tunggu sampe sabtu mengecewakan","Positif"
"terima kasihh barangnya packaging aman","Positif"
"barang bagus bgtt kurir pengiriman banget order cepat diproses seller","Tral"
"warna sesuai foto produk nyaman bibir","Positif"
"good seller fast respond recommended seller produk pemakaian minggu coba kali cairan pemakaian bikin becek rambut botol","Positif"
"mohon pengecekan ulang pengiriman kebocoran","Negatif"
"brng pakingny krng bgus slhn trmks resell","Positif"
"nyoba semoga cocok","Tral"
"produknya bagus pelayanannya parah tolong infoin kurir bilangnya beli tmpt bantuinnya buktinya males","Negatif"
"kapas kapasnya huhu kecewa bangett","Negatif"
"barangnya expired","Negatif"
"light banget gampang diratakan cocok daily","Positif"
"cabut ikutin ajarin bersih smua cabut","Tral"
"overall bagus cuman dipakai rada longgar","Negatif"
"worth greasy","Positif"
"kecewa karna tumpah habis tinggal","Negatif"
"performa kecewa seller iklannya barang pakai hasilnya bagus","Positif"
"free chat","Tral"
"bagus kering berharap baguss","Negatif"
"pdhl check","Tral"
"kode expired hapus gnti date","Positif"
"barang bagus pengiriman cepat expnya thank youu","Positif"
"manfaat semoga cocok","Tral"
"belanja toko kecewa harga kirim parahh kecewa pengiriman lelet lelet","Negatif"
"gampang ilang yaudah tint disupport","Negatif"
"produk dikirim usang segel terbuka kecewa official mending beli toko fisik toko official","Negatif"
"repurchase berkali kali produknya beda panas muka","Negatif"
"olahraga menit baca buku lembar upgrade skill orang ampuh bikin habit awet jangka coba pake fleksibel","Negatif"
"monmaap menurutku pribadi jaraknya sempit bulmat susah masuk ngelipet lipet gitu huhu expect will good product","Positif"
"warnanya bagus cerah glossy cuman sayang cepat banget ilangnya apalg slesai","Positif"
"kering tintanya kayak brgnya huhu","Negatif"
"promo kulkas skincare","Negatif"
"nyoba semoga cocok","Tral"
